Transaction ID,Transaction_Date,Product ID,Product Position,Promotion,Product Category,Seasonal,brand,url,sku,name,description,price,currency,terms,section,Quantity,Sold Price per Unit,Total Amount,Manufactured Qty,Actual Selling Price
1,11/24/2023,185102,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,EUR,jackets,MAN,3,50,150,6,50
2,2/27/2023,188771,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169,EUR,jackets,MAN,2,500,1000,5,500
3,1/13/2023,180176,End-cap,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,EUR,jackets,MAN,1,30,30,4,30
4,5/21/2023,112917,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129,EUR,jackets,MAN,1,500,500,4,500
5,5/6/2023,192936,End-cap,No,Clothing,Yes,Zara,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139,EUR,jackets,MAN,2,50,100,5,50
6,4/25/2023,117590,End-cap,No,Clothing,No,Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,EUR,jackets,MAN,1,30,30,4,30
7,3/13/2023,189118,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,EUR,jackets,MAN,2,25,50,5,25
8,2/22/2023,182157,Aisle,No,Clothing,No,Zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,EUR,jackets,MAN,4,25,100,7,25
9,12/13/2023,141861,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,EUR,jackets,MAN,2,300,600,5,300
10,10/7/2023,137121,Aisle,No,Clothing,Yes,Zara,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169,EUR,jackets,MAN,4,50,200,7,50
11,2/14/2023,113143,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/herringbone-textured-jacket-p08491401.html,316207900-710-2,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,129,EUR,jackets,MAN,2,50,100,5,50
12,10/30/2023,140028,Aisle,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/oversized-cropped-jacket-limited-edition-p04304672.html,329186122-800-2,OVERSIZED CROPPED JACKET LIMITED EDITION,Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.,159,EUR,jackets,MAN,3,25,75,6,25
13,8/5/2023,134693,Aisle,Yes,Clothing,No,Zara,https://www.zara.com/us/en/leather-biker-jacket-p05833412.html,311297791-800-2,LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,169,EUR,jackets,MAN,3,500,1500,6,500
14,1/17/2023,151396,Front of Store,Yes,Clothing,Yes,Zara,https://www.zara.com/us/en/cropped-leather-jacket-p02521104.html,323134418-800-3,CROPPED LEATHER JACKET,Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,439,EUR,jackets,MAN,4,30,120,7,30
15,1/16/2023,132889,Aisle,Yes,Clothing,Yes,HM,https://www.zara.com/us/en/faux-leather-boxy-fit-jacket-p08281654.html,311297555-706-2,FAUX LEATHER BOXY FIT JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.,99.9,SEK,jackets,MAN,4,500,2000,7,500
16,2/17/2023,152174,End-cap,No,Clothing,No,HM,https://www.zara.com/us/en/faux-leather-jacket-p03427320.html,317012940-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.,99.9,SEK,jackets,MAN,3,500,1500,6,500
17,4/22/2023,129906,Aisle,No,Clothing,No,HM,https://www.zara.com/us/en/faux-suede-bomber-jacket-p06318600.html,311292672-800-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.,69.9,SEK,jackets,MAN,4,25,100,7,25
18,4/30/2023,195879,Front of Store,Yes,Clothing,Yes,HM,https://www.zara.com/us/en/denim-bomber-jacket-p00621400.html,321496837-400-3,DENIM BOMBER JACKET,Jacket made of denim fabric with padded interior. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Elastic hem. All-over contrasting topstitching details. Front zip closure.,129,SEK,jackets,MAN,2,25,50,5,25
19,9/16/2023,155050,Aisle,No,Clothing,Yes,HM,https://www.zara.com/us/en/boucle-textured-jacket-p08491402.html,316205038-615-2,BOUCLÉ TEXTURED JACKET,Cropped jacket made with wool blend fabric. High collar and long sleeves with elastic cuffs. Front patch pockets with flaps. Elastic hem. Front snap button closure.,129,SEK,jackets,MAN,2,25,50,5,25
20,11/5/2023,194410,End-cap,No,Clothing,No,HM,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307443.html,322972473-052-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Back vents. Front button closure.,159,SEK,jackets,MAN,3,300,900,6,300
21,1/14/2023,141904,End-cap,Yes,Clothing,Yes,HM,https://www.zara.com/us/en/jacquard-denim-jacket-p07627402.html,313845662-400-3,JACQUARD DENIM JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Patch pockets with flaps at chest and side pockets at hip. Front hidden button closure.,109,SEK,jackets,MAN,1,500,500,4,500
22,10/15/2023,124981,Front of Store,No,Clothing,Yes,HM,https://www.zara.com/us/en/padded-denim-jacket-p01538413.html,320264577-800-2,PADDED DENIM JACKET,Cropped jacket with lightly quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Washed effect. Rib hems. Front zip closure.,89.9,SEK,jackets,MAN,2,50,100,5,50
23,4/12/2023,161909,Aisle,Yes,Clothing,No,HM,https://www.zara.com/us/en/leather-jacket-p05479400.html,315529534-705-3,LEATHER JACKET,Relaxed fit jacket in leather. Spread collar and long sleeves with slit cuffs with button closure. Patch pockets at hip. Back vents. Front button closure.,299,SEK,jackets,MAN,4,30,120,7,30
24,11/29/2023,129152,End-cap,No,Clothing,No,HM,https://www.zara.com/us/en/lightweight-bomber-jacket-p08281315.html,320423517-800-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,49.9,SEK,jackets,MAN,1,300,300,4,300
25,12/26/2023,183243,Front of Store,Yes,Clothing,No,HM,https://www.zara.com/us/en/suit-jacket-p04303266.html,328250627-251-46,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169,SEK,jackets,MAN,1,50,50,4,50
26,10/7/2023,198248,Front of Store,Yes,Clothing,No,HM,https://www.zara.com/us/en/faux-leather-bomber-jacket-p03918420.html,311309526-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,69.9,SEK,jackets,MAN,2,500,1000,5,500
27,8/3/2023,191230,End-cap,No,Clothing,No,HM,https://www.zara.com/us/en/patch-bomber-jacket-p03918330.html,311287528-811-2,PATCH BOMBER JACKET,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,SEK,jackets,MAN,2,25,50,5,20
28,4/23/2023,187234,Front of Store,Yes,Clothing,Yes,HM,https://www.zara.com/us/en/stretch-pocket-overshirt-p07484478.html,342657802-914-2,STRETCH POCKET OVERSHIRT,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,59.9,SEK,jackets,MAN,1,500,500,4,495
29,8/18/2023,148888,Front of Store,No,Clothing,No,HM,https://www.zara.com/us/en/rib-collar-jacket-p08281410.html,316207898-712-2,RIB COLLAR JACKET,Jacket made of technical fabric with padded interior. Tonal elastic rib high collar. Long sleeves. Welt pockets at hip and interior pocket. Interior elastic finish. Front zip closure.,109,SEK,jackets,MAN,1,30,30,4,25
30,10/29/2023,110805,Front of Store,Yes,Clothing,No,Gentle Monster,https://www.zara.com/us/en/faux-leather-oversized-jacket-limited-edition-p07380310.html,321496761-800-2,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,159,KRW,jackets,MAN,3,300,900,6,295
31,5/23/2023,179801,Front of Store,No,Clothing,Yes,Gentle Monster,https://www.zara.com/us/en/contrasting-patches-bomber-jacket-p06318411.html,311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,129,KRW,jackets,MAN,4,300,1200,5,295
32,1/4/2023,134927,Aisle,Yes,Clothing,Yes,Gentle Monster,https://www.zara.com/us/en/patch-bomber-jacket-p03833404.html,317129011-500-2,PATCH BOMBER JACKET,Varsity jacket with padded interior. Rib elastic collar and long sleeves in contrast faux leather. Double welt pockets at hip and interior pocket. Contrasting patch appliqués at front and back. Rib trim. Front snap button closure.,129,KRW,jackets,MAN,3,30,90,4,25
33,3/23/2023,123150,End-cap,Yes,Clothing,No,Gentle Monster,https://www.zara.com/us/en/cropped-bomber-jacket-limited-edition-p08281600.html,330274270-800-2,CROPPED BOMBER JACKET LIMITED EDITION,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,129,KRW,jackets,MAN,2,50,100,3,45
34,12/24/2023,159145,End-cap,Yes,Clothing,No,Gentle Monster,https://www.zara.com/us/en/faux-leather-puffer-jacket-p03833302.html,311297855-800-2,FAUX LEATHER PUFFER JACKET,Faux leather jacket with padded interior. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip and interior pocket. Elastic hem. Front zip hidden by a snap button flap.,109,KRW,jackets,MAN,3,50,150,4,45
35,8/5/2023,172364,Aisle,Yes,Clothing,No,Gentle Monster,https://www.zara.com/us/en/faux-leather-bomber-jacket-p08281667.html,317782474-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. Rib elastic collar and long sleeves. Zip pockets with flaps at hip. Interior pocket. Elastic hem. Front zip closure.,109,KRW,jackets,MAN,3,300,900,4,295
36,6/24/2023,178281,End-cap,No,Clothing,Yes,Gentle Monster,https://www.zara.com/us/en/bomber-jacket-p06318502.html,315758723-401-2,BOMBER JACKET,Varsity jacket. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front snap button closure.,109,KRW,jackets,MAN,3,300,900,4,295
